	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_40006_5.txt	40006	5	141.09308	119.49656	135.51467	128.86768	129.16559	135.22844	n/a	126.10532	121.59701	127.64859	138.23984	134.42056	134.81242	134.98974	136.22623	128.08781	120.91237	135.87758	125.04155	135.0027	144.03206	135.00662	142.54378	133.97015	143.67683	125.82529	130.17412	133.73717	119.0639	n/a
alpha_rarefaction_40006_6.txt	40006	6	138.85544	122.61787	136.34446	129.4801	129.83852	135.56752	n/a	125.818	124.90813	128.40512	137.98271	138.56612	131.60915	133.98414	134.65947	129.01834	121.72836	135.63906	121.0313	136.39897	145.45748	134.14376	142.6229	134.51476	144.03872	127.80264	129.84106	133.56528	118.16431	n/a
alpha_rarefaction_40006_7.txt	40006	7	142.82237	123.3865	137.55458	129.60698	129.64809	133.08752	n/a	125.05481	124.24491	127.75458	139.44307	139.01987	133.83284	134.35511	137.15537	128.60343	122.65726	136.14008	122.84735	134.37814	145.81585	134.06421	140.27316	134.52446	145.02556	128.53395	129.29029	133.56307	118.07519	n/a
alpha_rarefaction_40006_8.txt	40006	8	141.54671	123.19732	135.52117	131.43901	129.72465	135.75999	n/a	124.26859	122.44145	127.72658	138.6857	136.4283	132.81323	133.81138	136.46495	128.23139	122.65292	134.95403	123.94442	136.15567	141.72694	133.4702	140.33318	133.1865	143.99127	125.45352	132.14353	133.66981	118.38316	n/a
alpha_rarefaction_40006_9.txt	40006	9	142.0302	123.1853	135.69206	128.67242	130.11208	132.96004	n/a	126.68619	123.77514	127.77085	138.67814	140.18434	132.79153	133.67994	135.65946	126.81058	120.52429	135.32297	121.2356	135.8278	144.95223	133.26465	142.73221	134.18033	143.04002	126.77174	133.45052	133.52857	120.66324	n/a
alpha_rarefaction_50005_0.txt	50005	0	152.83541	128.89305	142.48935	136.87905	136.22559	141.34971	n/a	133.59762	130.905	134.27695	145.5307	144.8125	140.46582	141.37603	143.20537	135.07587	126.33019	142.27072	129.9101	142.78175	152.46948	140.8408	150.16897	140.9387	150.80788	131.78793	137.3657	n/a	126.02222	n/a
alpha_rarefaction_50005_1.txt	50005	1	150.60207	127.27075	143.87932	136.42398	139.44263	139.69086	n/a	131.81076	129.90054	136.17482	145.03327	143.22028	140.36286	140.92671	143.42268	133.81062	127.24518	143.46063	128.12005	142.40395	151.40206	140.74285	149.40637	141.95589	152.32358	133.66425	136.64878	n/a	124.71084	n/a
alpha_rarefaction_50005_2.txt	50005	2	151.78789	126.38486	142.62933	136.27287	137.83395	141.56264	n/a	131.53109	132.1425	134.90633	144.40816	144.60071	141.12494	140.05303	145.50312	134.33933	127.32026	140.19449	129.77019	142.05246	151.60242	142.31919	152.3648	141.61516	154.82711	132.79666	138.08446	n/a	125.52027	n/a
alpha_rarefaction_50005_3.txt	50005	3	152.08394	129.26239	143.80466	137.08551	138.04711	141.06318	n/a	132.53567	129.24815	134.13888	145.24249	144.21865	142.84711	139.3051	142.08236	133.245	126.21643	140.88279	129.88415	140.79746	151.85475	139.52077	150.06391	141.99155	149.84106	134.0517	136.33893	n/a	124.41872	n/a
alpha_rarefaction_50005_4.txt	50005	4	149.59337	128.37715	143.42542	136.4154	138.43643	140.98376	n/a	131.38829	132.09538	134.7139	144.74817	143.82044	140.72063	143.31195	147.16585	133.85667	127.05299	142.81359	130.04835	142.19208	150.75333	140.51975	149.29323	141.13027	150.53241	132.12026	136.07762	n/a	126.57086	n/a
alpha_rarefaction_50005_5.txt	50005	5	152.65889	128.78097	143.56267	137.10689	138.14341	141.34046	n/a	130.31535	129.02048	136.85719	144.77867	145.71446	140.6243	142.29855	143.11021	134.4511	125.78832	142.01212	129.94609	141.69988	153.80631	140.92294	151.17381	140.10149	150.62624	133.00355	138.61598	n/a	124.1406	n/a
alpha_rarefaction_50005_6.txt	50005	6	150.93063	128.86001	142.70069	136.0561	136.90757	142.91277	n/a	131.58864	130.32938	136.10873	145.44227	145.57741	140.10756	142.48003	145.32892	134.5304	127.00209	140.65047	131.47402	140.44067	150.44113	140.56514	149.62935	141.55218	152.51655	133.13702	137.71389	n/a	124.69563	n/a
alpha_rarefaction_50005_7.txt	50005	7	150.49054	128.19964	140.43619	136.80882	136.94261	141.04815	n/a	132.24872	128.61639	133.51637	144.40535	145.2891	141.99181	141.11471	143.79299	134.12037	126.35041	142.04563	130.34132	141.89727	153.74391	142.36749	150.16043	141.30645	151.53703	134.62392	139.11999	n/a	124.69133	n/a
alpha_rarefaction_50005_8.txt	50005	8	150.96549	126.35909	144.379	136.14499	136.55097	140.60613	n/a	130.90414	131.07455	134.18507	143.98424	144.01777	140.53177	140.80043	143.54102	134.13122	125.9354	140.55404	131.43554	141.69518	150.85571	140.96599	151.67354	142.24943	152.48101	132.88194	137.37238	n/a	127.12537	n/a
alpha_rarefaction_50005_9.txt	50005	9	149.82305	127.36184	144.80153	136.87268	137.70418	139.38605	n/a	131.4077	130.71247	134.91383	144.93377	145.58126	141.74875	141.4487	141.78478	132.74061	127.14939	141.23462	131.40071	143.24808	152.92388	141.35159	152.01929	142.7067	153.92633	133.65005	136.54031	n/a	125.11125	n/a
alpha_rarefaction_60004_0.txt	60004	0	160.64996	133.89967	150.81164	n/a	142.14921	147.55373	n/a	138.1971	134.77212	139.5132	149.55559	151.02579	146.53686	148.34358	148.2919	138.64242	n/a	148.03087	133.5389	148.7158	157.72979	146.2748	156.74348	148.12493	156.90558	139.64676	145.83821	n/a	132.04378	n/a
