Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
51.5244894	51.52446	515rcbc37	0.0	515rcbc23	0.0	None	None
51.52477	51.5244894	515rcbc9	0.0	515rcbc37	0.0	None	None
51.5242961	51.535722	515rcbc19	0.0	515rcbc12	0.0	None	None
51.52446	51.52415	515rcbc23	0.0	515rcbc26	0.0	None	None
51.5242733	51.5241141	515rcbc18	0.0	515rcbc10	0.0	None	None
51.52457	51.52422	515rcbc16	0.0	515rcbc31	0.0	None	None
51.5239	51.5266048	515rcbc28	0.0	515rcbc30	0.0	None	None
51.52424	51.5245	515rcbc25	0.0	515rcbc11	0.0	None	None
51.5239	51.52415	515rcbc28	0.0	515rcbc26	0.0	None	None
51.5243	51.5245	515rcbc21	0.0	515rcbc11	0.0	None	None
51.5266048	51.5248	515rcbc30	0.0	515rcbc8	0.0	None	None
51.524541	51.5240476	515rcbc24	0.0	515rcbc27	0.0	None	None
51.52453	51.524641	515rcbc13	0.0	515rcbc17	0.0	None	None
51.5242733	51.52424	515rcbc18	0.0	515rcbc25	0.0	None	None
51.52422	51.5241494	515rcbc31	0.0	515rcbc34	0.0	None	None
51.5266048	51.5237466	515rcbc30	0.0	515rcbc35	0.0	None	None
51.5243	51.5240476	515rcbc21	0.0	515rcbc27	0.0	None	None
51.52422	51.5240476	515rcbc31	0.0	515rcbc27	0.0	None	None
51.52461	51.5248	515rcbc14	0.0	515rcbc8	0.0	None	None
51.5242733	51.5266048	515rcbc18	0.0	515rcbc30	0.0	None	None
51.5240065	51.5245	515rcbc32	0.0	515rcbc11	0.0	None	None
51.5244	51.5240476	122.352649	0.757442	515rcbc27	0.0	1.02664015973	1.0
51.524541	51.52446	515rcbc24	0.0	515rcbc23	0.0	None	None
51.5266048	51.5241141	515rcbc30	0.0	515rcbc10	0.0	None	None
51.52461	51.52415	515rcbc14	0.0	515rcbc26	0.0	None	None
51.524339	51.52424	515rcbc29	0.0	515rcbc25	0.0	None	None
51.5266048	51.5241	515rcbc30	0.0	515rcbc33	0.0	None	None
51.524541	51.535722	515rcbc24	0.0	515rcbc12	0.0	None	None
51.52453	51.5241141	515rcbc13	0.0	515rcbc10	0.0	None	None
51.52453	51.5242733	515rcbc13	0.0	515rcbc18	0.0	None	None
51.5239	51.52422	515rcbc28	0.0	515rcbc31	0.0	None	None
51.523722	51.5237466	515rcbc36	0.0	515rcbc35	0.0	None	None
51.52461	51.5241141	515rcbc14	0.0	515rcbc10	0.0	None	None
51.52457	51.5242961	515rcbc16	0.0	515rcbc19	0.0	None	None
51.5244894	51.5240476	515rcbc37	0.0	515rcbc27	0.0	None	None
51.52461	51.5243	515rcbc14	0.0	515rcbc21	0.0	None	None
51.52457	51.5244894	515rcbc16	0.0	515rcbc37	0.0	None	None
51.52453	51.52422	515rcbc13	0.0	515rcbc31	0.0	None	None
51.5244	51.52415	122.352649	0.757442	515rcbc26	0.0	-2.38354691246	1.0
51.5241	51.5240476	515rcbc33	0.0	515rcbc27	0.0	None	None
51.5241	51.5237466	515rcbc33	0.0	515rcbc35	0.0	None	None
51.5240065	51.523722	515rcbc32	0.0	515rcbc36	0.0	None	None
51.52453	51.524339	515rcbc13	0.0	515rcbc29	0.0	None	None
51.524641	51.52415	515rcbc17	0.0	515rcbc26	0.0	None	None
51.52446	51.5244	515rcbc23	0.0	122.352649	0.757442	5.84961662337	1.0
51.5241	51.5241141	515rcbc33	0.0	515rcbc10	0.0	None	None
51.5244894	51.52415	515rcbc37	0.0	515rcbc26	0.0	None	None
51.5239	51.5244	515rcbc28	0.0	122.352649	0.757442	5.6334988227	1.0
51.5239	51.524641	515rcbc28	0.0	515rcbc17	0.0	None	None
51.5240065	51.5241141	515rcbc32	0.0	515rcbc10	0.0	None	None
51.52457	51.5241141	515rcbc16	0.0	515rcbc10	0.0	None	None
51.5242961	51.5240476	515rcbc19	0.0	515rcbc27	0.0	None	None
51.524641	51.5240476	515rcbc17	0.0	515rcbc27	0.0	None	None
51.524541	51.52415	515rcbc24	0.0	515rcbc26	0.0	None	None
51.5242733	51.5240476	515rcbc18	0.0	515rcbc27	0.0	None	None
51.5242733	51.5241494	515rcbc18	0.0	515rcbc34	0.0	None	None
51.524339	51.52461	515rcbc29	0.0	515rcbc14	0.0	None	None
51.5242961	51.5245	515rcbc19	0.0	515rcbc11	0.0	None	None
51.5248	51.52415	515rcbc8	0.0	515rcbc26	0.0	None	None
51.52457	51.5248	515rcbc16	0.0	515rcbc8	0.0	None	None
51.52477	51.5266048	515rcbc9	0.0	515rcbc30	0.0	None	None
51.52477	51.5242733	515rcbc9	0.0	515rcbc18	0.0	None	None
51.52477	51.5244	515rcbc9	0.0	122.352649	0.757442	5.42158399649	1.0
51.5240065	51.5266048	515rcbc32	0.0	515rcbc30	0.0	None	None
51.52457	51.52424	515rcbc16	0.0	515rcbc25	0.0	None	None
51.5241494	51.5248	515rcbc34	0.0	515rcbc8	0.0	None	None
51.524541	51.5241494	515rcbc24	0.0	515rcbc34	0.0	None	None
51.5242733	51.52415	515rcbc18	0.0	515rcbc26	0.0	None	None
51.52477	51.524339	515rcbc9	0.0	515rcbc29	0.0	None	None
