	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_13606_8.txt	13606	8	107.8446	95.28567	100.13786	98.47849	99.44536	101.11102	97.23291	92.44685	96.49525	104.28757	102.65789	100.01655	101.12466	104.78712	98.76637	94.05798	101.51163	95.07055	102.36206	108.95576	102.62477	104.33705	99.84949	106.25139	96.70801	99.10347	104.15425	89.54541	90.40708
alpha_rarefaction_13606_9.txt	13606	9	102.8519	92.30175	100.06567	97.64433	96.40406	100.08034	93.4521	91.57317	97.32039	106.8087	105.01041	99.92419	99.17991	103.08403	98.68624	91.46425	103.79592	95.08533	102.65329	106.93637	102.57681	102.22129	99.47881	108.88371	98.19942	98.85308	103.12726	90.86518	92.08221
alpha_rarefaction_17005_0.txt	17005	0	114.50999	100.22309	106.75867	104.55467	103.55688	107.0451	103.37611	97.72226	103.84972	113.76044	108.14415	108.75454	104.62219	110.48322	105.4456	99.83757	106.52707	96.9632	107.58975	114.47749	108.73148	111.41726	107.52012	112.35344	102.80208	104.67118	111.05505	96.23948	98.17924
alpha_rarefaction_17005_1.txt	17005	1	114.15767	98.38636	109.64617	104.8434	104.24962	106.91787	99.8278	98.25285	103.8334	112.70666	107.26739	106.44896	104.93279	110.12835	105.24519	99.41862	111.55602	100.60458	108.64017	113.66805	111.17879	113.90222	108.27639	115.45389	103.29784	103.55938	108.71749	93.6366	97.3762
alpha_rarefaction_17005_2.txt	17005	2	111.96887	98.86692	108.82798	103.58605	105.41976	106.5649	103.12863	98.91126	103.90576	116.28643	109.35318	105.10214	106.69218	108.5282	104.98902	100.6809	109.45642	97.13559	110.26352	115.50789	107.01953	111.32135	107.05492	112.54579	103.82259	105.94225	110.65345	96.32125	96.83266
alpha_rarefaction_17005_3.txt	17005	3	113.36471	99.69432	108.22643	103.8231	106.24284	105.53744	100.37375	97.87748	106.63598	113.55414	108.09645	108.38339	106.49516	107.02301	105.98065	98.43697	109.04712	97.97821	108.32763	116.76452	106.51138	110.94105	107.58289	113.66542	105.73024	106.0335	109.43521	95.99956	97.29121
alpha_rarefaction_17005_4.txt	17005	4	114.7312	101.43699	107.40809	106.18732	105.6753	108.9134	101.3496	98.6285	103.15901	112.48176	109.18396	107.30519	103.67896	107.0893	105.36171	99.70874	107.96245	98.14021	107.18764	115.11823	108.71338	112.64924	106.76372	115.70538	102.0578	103.68464	109.33827	96.57618	97.93665
alpha_rarefaction_17005_5.txt	17005	5	113.30983	100.91029	109.15288	104.27847	105.14459	105.3442	100.67496	99.24034	101.45034	112.02393	106.46916	108.34797	108.13219	109.67496	105.69073	100.48712	108.57784	98.75234	108.30713	114.92605	109.70637	109.7272	105.60634	114.83653	103.35358	102.89369	109.76879	94.59343	97.08331
alpha_rarefaction_17005_6.txt	17005	6	111.23356	97.97271	107.11573	104.77393	106.03632	108.06346	102.40184	100.04957	105.03899	114.4815	109.77877	107.05479	107.5105	109.19443	104.84565	99.82649	106.19338	98.51843	106.41486	116.07949	108.58335	111.47947	107.9273	113.90337	103.45998	104.89681	109.64684	97.31655	97.65567
alpha_rarefaction_17005_7.txt	17005	7	112.34164	98.44646	108.4629	103.5802	102.94617	105.939	99.41711	95.90422	102.06742	114.01556	108.9707	109.75862	105.92185	110.63217	104.94254	100.90487	107.52624	96.90598	108.64227	116.47295	110.6432	112.71278	110.74078	113.57815	102.9773	103.685	110.19982	97.37175	97.93728
