Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
-0.1308888	-0.1316	515rcbc35	0.0	515rcbc11	0.0	None	None
-0.131135	-0.1316	515rcbc29	0.0	515rcbc11	0.0	None	None
-0.1332937	-0.13123	515rcbc30	0.0	515rcbc13	0.0	None	None
-0.13133	-0.13103	515rcbc19	0.0	515rcbc14	0.0	None	None
-0.131737	-0.1302	515rcbc37	0.0	515rcbc31	0.0	None	None
-0.1307983	-0.13072	515rcbc18	0.0	515rcbc22	0.0	None	None
-0.13064	-0.159251	515rcbc16	0.0	515rcbc12	0.0	None	None
-0.1307983	-0.13133	515rcbc18	0.0	515rcbc19	0.0	None	None
-0.130816	-0.1312857	515rcbc34	0.0	515rcbc10	0.0	None	None
-0.130816	-0.1303	515rcbc34	0.0	515rcbc33	0.0	None	None
-0.1310242	-0.13103	515rcbc27	0.0	515rcbc14	0.0	None	None
-0.131135	-0.131086	515rcbc29	0.0	515rcbc17	0.0	None	None
-0.1307983	-0.131135	515rcbc18	0.0	515rcbc29	0.0	None	None
-0.13053	-0.1302	515rcbc25	0.0	515rcbc31	0.0	None	None
-0.1302	-0.13049	515rcbc31	0.0	515rcbc23	0.0	None	None
-0.131135	-0.1332937	515rcbc29	0.0	515rcbc30	0.0	None	None
-0.13072	-0.1303	515rcbc22	0.0	515rcbc33	0.0	None	None
-0.1308888	-0.131737	515rcbc35	0.0	515rcbc37	0.0	None	None
-0.1316	-0.13122	515rcbc11	0.0	515rcbc9	0.0	None	None
-0.1332937	-0.13122	515rcbc30	0.0	515rcbc9	0.0	None	None
-0.13074	-0.13053	515rcbc26	0.0	515rcbc25	0.0	None	None
-0.1300144	-0.13049	515rcbc32	0.0	515rcbc23	0.0	None	None
-0.1303	-0.13123	515rcbc33	0.0	515rcbc13	0.0	None	None
-0.1332937	-0.1303	515rcbc30	0.0	515rcbc33	0.0	None	None
-0.1300144	-0.13103	515rcbc32	0.0	515rcbc14	0.0	None	None
-0.13072	-0.13103	515rcbc22	0.0	515rcbc14	0.0	None	None
